ticker,date,period_ending,estimate,reported,surprise,surprise%
TTEK,11/13/2024,9/30/2024,0.37,0.35,-0.02,-5.4054
TTGT,11/6/2024,9/30/2024,0.37,0.42,0.05,13.5135
TTI,10/29/2024,9/30/2024,0.04,0.03,-0.01,-25.0000
TTMI,10/30/2024,9/30/2024,0.41,0.41,0,0.0000
TTWO,11/6/2024,9/30/2024,0.41,0.66,0.25,60.9756
TVTX,10/31/2024,9/30/2024,-0.68,-0.7,-0.02,-2.9412
TW,10/30/2024,9/30/2024,0.76,0.75,-0.01,-1.3158
TWI,10/30/2024,9/30/2024,0.02,-0.19,-0.21,-1050.0000
TWLO,10/30/2024,9/30/2024,0.85,1.02,0.17,20.0000
TWO,10/28/2024,9/30/2024,0.34,0.13,-0.21,-61.7647
TWST,11/15/2024,9/30/2024,-0.6933,-0.59,0.1033,14.8998
TXG,10/29/2024,9/30/2024,-0.34,-0.3,0.04,11.7647
TXN,10/22/2024,9/30/2024,1.38,1.47,0.09,6.5217
TXNM,11/1/2024,9/30/2024,1.41,1.43,0.02,1.4184
TXRH,10/24/2024,9/30/2024,1.32,1.26,-0.06,-4.5455
TXT,10/24/2024,9/30/2024,1.5,1.4,-0.1,-6.6667
TYL,10/23/2024,9/30/2024,2.43,2.52,0.09,3.7037
TYRA,11/8/2024,9/30/2024,-0.392,-0.41,-0.018,-4.5918
U,11/7/2024,9/30/2024,-0.36,-0.31,0.05,13.8889
UA,11/7/2024,9/30/2024,0.2,0.3,0.1,50.0000
UAA,11/7/2024,9/30/2024,0.2,0.3,0.1,50.0000
UAL,10/15/2024,9/30/2024,3.17,3.33,0.16,5.0473
UBER,10/31/2024,9/30/2024,0.41,1.2,0.79,192.6829
UBSI,10/24/2024,9/30/2024,0.67,0.7,0.03,4.4776
UCB,10/23/2024,9/30/2024,0.58,0.57,-0.01,-1.7241
UCTT,10/28/2024,9/30/2024,0.33,0.35,0.02,6.0606
UDMY,10/30/2024,9/30/2024,0.0114,0.07,0.0586,514.0351
UDR,10/30/2024,9/30/2024,0.1,0.06,-0.04,-40.0000
UE,10/30/2024,9/30/2024,0.01,0.07,0.06,600.0000
UEC,12/9/2024,10/31/2024,-0.01,-0.05,-0.04,-400.0000
UFCS,11/5/2024,9/30/2024,0.33,0.81,0.48,145.4545
UFPI,10/28/2024,9/30/2024,1.89,1.64,-0.25,-13.2275
UFPT,11/4/2024,9/30/2024,1.81,2.1051,0.2951,16.3039
UGI,11/14/2024,9/30/2024,-0.29,-0.17,0.12,41.3793
UHAL,11/6/2024,9/30/2024,1.32,0.91,-0.41,-31.0606
UHS,10/24/2024,9/30/2024,3.65,3.71,0.06,1.6438
UI,11/1/2024,9/30/2024,1.63,2.14,0.51,31.2883
UIS,10/29/2024,9/30/2024,0.13,-0.08,-0.21,-161.5385
ULCC,10/29/2024,9/30/2024,-0.03,-0.05,-0.02,-66.6667
ULH,10/24/2024,9/30/2024,1.18,1.15,-0.03,-2.5424
ULTA,12/5/2024,10/31/2024,4.53,5.14,0.61,13.4658
UMBF,10/29/2024,9/30/2024,2.2,2.25,0.05,2.2727
UMH,11/6/2024,9/30/2024,0.02,0.11,0.09,450.0000
UNF,1/1/2025,11/30/2024,2.22,2.4,0.18,8.1081
UNFI,12/4/2024,10/31/2024,-0.0146,0.16,0.1746,1195.8904
UNH,10/15/2024,9/30/2024,7,7.15,0.15,2.1429
UNIT,10/31/2024,9/30/2024,0.1,0.05,-0.05,-50.0000
UNM,10/29/2024,9/30/2024,2.1,2.13,0.03,1.4286
UNP,10/24/2024,9/30/2024,2.78,2.75,-0.03,-1.0791
UNTY,10/11/2024,9/30/2024,0.95,1.07,0.12,12.6316
UPB,11/7/2024,9/30/2024,-3.6519,-6.96,-3.3081,-90.5857
UPBD,10/31/2024,9/30/2024,0.93,0.95,0.02,2.1505
UPS,10/24/2024,9/30/2024,1.63,1.76,0.13,7.9755
UPST,11/7/2024,9/30/2024,-0.15,-0.06,0.09,60.0000
UPWK,11/6/2024,9/30/2024,0.25,0.29,0.04,16.0000
URBN,11/26/2024,10/31/2024,0.85,1.1,0.25,29.4118
URG,10/28/2024,9/30/2024,-0.015,-0.02,-0.005,-33.3333
URGN,11/6/2024,9/30/2024,-0.82,-0.55,0.27,32.9268
URI,10/23/2024,9/30/2024,12.48,11.8,-0.68,-5.4487
USB,10/16/2024,9/30/2024,0.99,1.03,0.04,4.0404
USFD,11/7/2024,9/30/2024,0.83,0.85,0.02,2.4096
USNA,10/22/2024,9/30/2024,0.49,0.56,0.07,14.2857
USPH,11/5/2024,9/30/2024,0.68,0.69,0.01,1.4706
UTHR,10/30/2024,9/30/2024,6.43,6.39,-0.04,-0.6221
UTI,11/13/2024,9/30/2024,0.3,0.34,0.04,13.3333
UTL,11/4/2024,9/30/2024,0.08,0.02,-0.06,-75.0000
UTZ,10/31/2024,9/30/2024,0.2,0.21,0.01,5.0000
UUUU,10/31/2024,9/30/2024,-0.04,-0.07,-0.03,-75.0000
UVE,10/24/2024,9/30/2024,-0.96,-0.73,0.23,23.9583
UVSP,10/23/2024,9/30/2024,0.54,0.63,0.09,16.6667
UWMC,11/7/2024,9/30/2024,0.07,0.01,-0.06,-85.7143
V,10/29/2024,9/30/2024,2.58,2.71,0.13,5.0388
VAC,11/6/2024,9/30/2024,1.57,1.8,0.23,14.6497
VAL,10/30/2024,9/30/2024,1.04,0.88,-0.16,-15.3846
VBTX,10/22/2024,9/30/2024,0.55,0.59,0.04,7.2727
VC,10/24/2024,9/30/2024,1.85,2.26,0.41,22.1622
VCEL,11/7/2024,9/30/2024,-0.05,-0.02,0.03,60.0000
VCTR,11/7/2024,9/30/2024,1.3,1.2411,-0.0589,-4.5308
VCYT,11/6/2024,9/30/2024,0.03,0.19,0.16,533.3333
VECO,11/6/2024,9/30/2024,0.45,0.46,0.01,2.2222
VEEV,12/5/2024,10/31/2024,1.5809,1.75,0.1691,10.6964
VEL,11/7/2024,9/30/2024,0.48,0.47,-0.01,-2.0833
VERA,11/7/2024,9/30/2024,-0.6184,-0.85,-0.2316,-37.4515
VERV,11/5/2024,9/30/2024,-0.6877,-0.59,0.0977,14.2068
VERX,11/6/2024,9/30/2024,0.14,0.16,0.02,14.2857
VFC,10/28/2024,9/30/2024,0.37,0.6,0.23,62.1622
VIAV,10/31/2024,9/30/2024,0.06,0.06,0,0.0000
VICI,10/31/2024,9/30/2024,0.67,0.7,0.03,4.4776
VICR,10/22/2024,9/30/2024,0.14,0.26,0.12,85.7143
VIR,10/31/2024,9/30/2024,-1.05,-1.56,-0.51,-48.5714
VIRT,10/24/2024,9/30/2024,0.79,0.82,0.03,3.7975
VITL,11/7/2024,9/30/2024,0.12,0.16,0.04,33.3333
VKTX,10/23/2024,9/30/2024,-0.25,-0.22,0.03,12.0000
VLO,10/24/2024,9/30/2024,0.98,1.14,0.16,16.3265
VLTO,10/23/2024,9/30/2024,0.85,0.89,0.04,4.7059
VLY,10/24/2024,9/30/2024,0.18,0.18,0,0.0000
VMC,10/30/2024,9/30/2024,2.32,2.22,-0.1,-4.3103
VMD,11/6/2024,9/30/2024,0.07,0.1,0.03,42.8571
VMEO,11/4/2024,9/30/2024,0.01,0.05,0.04,400.0000
VMI,10/22/2024,9/30/2024,4,4.11,0.11,2.7500
VNDA,11/6/2024,9/30/2024,-0.16,-0.09,0.07,43.7500
VNO,11/4/2024,9/30/2024,-0.1,-0.1,0,0.0000
VNOM,11/4/2024,9/30/2024,0.47,0.49,0.02,4.2553
VNT,10/31/2024,9/30/2024,0.69,0.73,0.04,5.7971
VOYA,11/4/2024,9/30/2024,2.04,0.98,-1.06,-51.9608
VPG,11/5/2024,9/30/2024,0.26,0.19,-0.07,-26.9231
VRDN,11/11/2024,9/30/2024,-1.06,-1.1546,-0.0946,-8.9245
VRE,10/30/2024,9/30/2024,-0.09,-0.1,-0.01,-11.1111
VREX,11/12/2024,9/30/2024,0.22,0.19,-0.03,-13.6364
VRNS,10/29/2024,9/30/2024,0.07,0.1,0.03,42.8571
VRNT,12/4/2024,10/31/2024,0.43,0.54,0.11,25.5814
VRRM,10/31/2024,9/30/2024,0.32,0.32,0,0.0000
VRSK,10/30/2024,9/30/2024,1.6,1.67,0.07,4.3750
VRSN,10/24/2024,9/30/2024,2.01,2.07,0.06,2.9851
VRT,10/23/2024,9/30/2024,0.69,0.76,0.07,10.1449
VRTS,10/25/2024,9/30/2024,6.8,6.92,0.12,1.7647
VRTX,11/4/2024,9/30/2024,4.14,4.38,0.24,5.7971
VSAT,11/6/2024,9/30/2024,-0.54,-1.07,-0.53,-98.1481
VSCO,12/6/2024,10/31/2024,-0.6248,-0.5,0.1248,19.9744
VSEC,11/5/2024,9/30/2024,0.6,0.71,0.11,18.3333
VSH,11/6/2024,9/30/2024,0.14,0.08,-0.06,-42.8571
VST,11/7/2024,9/30/2024,1.2,5.4,4.2,350.0000
VSTS,11/21/2024,9/30/2024,0.33,0.11,-0.22,-66.6667
VTLE,11/6/2024,9/30/2024,1.45,1.61,0.16,11.0345
VTOL,11/6/2024,9/30/2024,0.7,0.8251,0.1251,17.8714
VTR,10/30/2024,9/30/2024,-0.03,0.05,0.08,266.6667
VTRS,11/7/2024,9/30/2024,0.68,0.75,0.07,10.2941
VTS,11/5/2024,9/30/2024,0.305,0.2305,-0.0745,-24.4262
VTYX,11/4/2024,9/30/2024,-0.52,-0.5,0.02,3.8462
VVV,11/7/2024,9/30/2024,0.42,0.46,0.04,9.5238
VVX,11/4/2024,9/30/2024,0.35,0.47,0.12,34.2857
VYGR,11/4/2024,9/30/2024,-0.45,-0.16,0.29,64.4444
VYX,11/7/2024,9/30/2024,-0.05,7.414,7.464,14928.0000
VZ,10/22/2024,9/30/2024,1.18,1.19,0.01,0.8475
W,11/1/2024,9/30/2024,0.13,0.22,0.09,69.2308
WAB,10/23/2024,9/30/2024,1.9,2,0.1,5.2632
WABC,10/17/2024,9/30/2024,1.24,1.27,0.03,2.4194
WAFD,10/17/2024,9/30/2024,0.7,0.71,0.01,1.4286
WAL,10/17/2024,9/30/2024,1.89,1.8,-0.09,-4.7619
WASH,10/21/2024,9/30/2024,0.56,0.64,0.08,14.2857
WAT,11/1/2024,9/30/2024,2.68,2.93,0.25,9.3284
WAY,11/6/2024,9/30/2024,0.1067,0.14,0.0333,31.2090
WBA,1/2/2025,11/30/2024,0.39,0.51,0.12,30.7692
WBD,11/7/2024,9/30/2024,-0.08,0.05,0.13,162.5000
WBS,10/17/2024,9/30/2024,1.35,1.34,-0.01,-0.7407
WCC,10/31/2024,9/30/2024,3.21,3.58,0.37,11.5265
WD,11/7/2024,9/30/2024,1.01,0.85,-0.16,-15.8416
WDAY,11/26/2024,10/31/2024,1.76,1.89,0.13,7.3864
WDC,10/24/2024,9/30/2024,1.72,1.78,0.06,3.4884
WDFC,1/7/2025,11/30/2024,1.29,1.39,0.1,7.7519
WEAV,10/31/2024,9/30/2024,-0.0049,0.03,0.0349,712.2449
WEC,10/31/2024,9/30/2024,0.7,0.82,0.12,17.1429
WELL,10/28/2024,9/30/2024,0.38,0.73,0.35,92.1053
WEN,10/31/2024,9/30/2024,0.25,0.25,0,0.0000
WERN,10/29/2024,9/30/2024,0.21,0.15,-0.06,-28.5714
WEST,11/7/2024,9/30/2024,-0.06,-0.16,-0.1,-166.6667
WEX,10/24/2024,9/30/2024,4.42,4.35,-0.07,-1.5837
WFC,10/11/2024,9/30/2024,1.28,1.52,0.24,18.7500
WFRD,10/22/2024,9/30/2024,1.71,2.06,0.35,20.4678
WGO,12/18/2024,11/30/2024,0.2003,-0.03,-0.2303,-114.9775
WGS,10/29/2024,9/30/2024,-0.21,0.04,0.25,119.0476
WH,10/23/2024,9/30/2024,1.38,1.39,0.01,0.7246
WHD,10/30/2024,9/30/2024,0.75,0.79,0.04,5.3333
WHR,10/23/2024,9/30/2024,3.19,3.43,0.24,7.5235
WINA,10/16/2024,9/30/2024,3.16,3.03,-0.13,-4.1139
WING,10/30/2024,9/30/2024,0.96,0.88,-0.08,-8.3333
WK,11/6/2024,9/30/2024,0.23,0.21,-0.02,-8.6957
WKC,10/24/2024,9/30/2024,0.62,0.62,0,0.0000
WLDN,10/31/2024,9/30/2024,0.55,0.73,0.18,32.7273
WLK,11/5/2024,9/30/2024,2.2,1.41,-0.79,-35.9091
WLY,12/4/2024,10/31/2024,0.88,0.97,0.09,10.2273
WM,10/28/2024,9/30/2024,1.89,1.96,0.07,3.7037
WMB,11/6/2024,9/30/2024,0.42,0.4,-0.02,-4.7619
WMS,11/8/2024,9/30/2024,1.89,1.7,-0.19,-10.0529
WMT,11/19/2024,10/31/2024,0.53,0.58,0.05,9.4340
WNC,10/24/2024,9/30/2024,0.23,0.19,-0.04,-17.3913
WNS,10/17/2024,9/30/2024,0.99,1.13,0.14,14.1414
WOLF,11/6/2024,9/30/2024,-1,-2.23,-1.23,-123.0000
WOOF,11/27/2024,10/31/2024,-0.04,-0.02,0.02,50.0000
WOR,12/18/2024,11/30/2024,0.55,0.6,0.05,9.0909
WOW,11/4/2024,9/30/2024,-0.1,-0.27,-0.17,-170.0000
WPC,10/29/2024,9/30/2024,0.53,0.51,-0.02,-3.7736
WRB,10/21/2024,9/30/2024,0.92,0.93,0.01,1.0870
WRBY,11/7/2024,9/30/2024,0.05,0.05,0,0.0000
WRLD,10/25/2024,9/30/2024,1.99,3.99,2,100.5025
WS,12/19/2024,11/30/2024,0.63,0.19,-0.44,-69.8413
WSBC,10/23/2024,9/30/2024,0.51,0.54,0.03,5.8824
WSC,10/30/2024,9/30/2024,0.36,0.58,0.22,61.1111
WSFS,10/24/2024,9/30/2024,1.06,1.08,0.02,1.8868
WSM,11/14/2024,10/31/2024,1.7688,1.96,0.1912,10.8096
WSO,10/23/2024,9/30/2024,4.73,4.22,-0.51,-10.7822
WSR,10/30/2024,9/30/2024,0.09,0.15,0.06,66.6667
WST,10/24/2024,9/30/2024,1.5,1.85,0.35,23.3333
WT,10/25/2024,9/30/2024,0.17,0.18,0.01,5.8824
WTBA,10/24/2024,9/30/2024,0.31,0.35,0.04,12.9032
WTFC,10/15/2024,9/30/2024,2.51,2.47,-0.04,-1.5936
WTI,11/7/2024,9/30/2024,-0.19,-0.25,-0.06,-31.5789
WTM,11/4/2024,9/30/2024,99,69.68,-29.32,-29.6162
WTRG,11/4/2024,9/30/2024,0.24,0.25,0.01,4.1667
WTS,10/30/2024,9/30/2024,1.99,2.03,0.04,2.0101
WTTR,11/5/2024,9/30/2024,0.14,0.15,0.01,7.1429
WTW,10/31/2024,9/30/2024,2.71,2.93,0.22,8.1181
WU,10/23/2024,9/30/2024,0.44,0.46,0.02,4.5455
WULF,11/12/2024,9/30/2024,-0.03,-0.0611,-0.0311,-103.6667
WVE,11/7/2024,9/30/2024,-0.28,-0.466,-0.186,-66.4286
WWD,11/25/2024,9/30/2024,1.26,1.41,0.15,11.9048
WWW,11/7/2024,9/30/2024,0.21,0.285,0.075,35.7143
WY,10/24/2024,9/30/2024,0.01,0.05,0.04,400.0000
WYNN,11/4/2024,9/30/2024,1.01,0.9,-0.11,-10.8911
X,10/31/2024,9/30/2024,0.47,0.56,0.09,19.1489
XEL,10/31/2024,9/30/2024,1.26,1.25,-0.01,-0.7937
XERS,11/8/2024,9/30/2024,-0.09,-0.11,-0.02,-22.2222
XFOR,11/13/2024,9/30/2024,-0.17,-0.18,-0.01,-5.8824
XHR,11/6/2024,9/30/2024,-0.08,-0.07,0.01,12.5000
XMTR,11/5/2024,9/30/2024,-0.0521,0.02,0.0721,138.3877
XNCR,11/5/2024,9/30/2024,-0.98,-0.71,0.27,27.5510
XOM,11/1/2024,9/30/2024,1.88,1.92,0.04,2.1277
XP,11/20/2024,9/30/2024,2.1693,2.18,0.0107,0.4932
XPEL,11/7/2024,9/30/2024,0.51,0.54,0.03,5.8824
XPER,11/6/2024,9/30/2024,0.18,0.51,0.33,183.3333
XPO,10/30/2024,9/30/2024,0.91,1.02,0.11,12.0879
XPOF,11/7/2024,9/30/2024,0.27,-0.04,-0.31,-114.8148
XPRO,10/24/2024,9/30/2024,0.2652,0.23,-0.0352,-13.2730
XRAY,11/7/2024,9/30/2024,0.47,0.5,0.03,6.3830
XRX,10/22/2024,9/30/2024,0.54,0.25,-0.29,-53.7037
XYL,10/31/2024,9/30/2024,1.11,1.11,0,0.0000
XYZ,11/7/2024,9/30/2024,0.87,0.88,0.01,1.1494
YELP,11/7/2024,9/30/2024,0.42,0.56,0.14,33.3333
YETI,11/7/2024,9/30/2024,0.67,0.71,0.04,5.9701
YEXT,12/3/2024,10/31/2024,0.12,0.12,0,0.0000
YMAB,11/8/2024,9/30/2024,-0.15,-0.16,-0.01,-6.6667
YORW,11/4/2024,9/30/2024,0.41,0.41,0,0.0000
YOU,11/7/2024,9/30/2024,0.3298,0.3,-0.0298,-9.0358
YUM,11/5/2024,9/30/2024,1.41,1.37,-0.04,-2.8369
Z,11/6/2024,9/30/2024,0.29,0.35,0.06,20.6897
ZBH,10/30/2024,9/30/2024,1.74,1.74,0,0.0000
ZBRA,10/29/2024,9/30/2024,3.24,3.49,0.25,7.7160
ZD,11/7/2024,9/30/2024,1.51,1.64,0.13,8.6093
ZETA,11/12/2024,9/30/2024,0.1661,0.1586,-0.0075,-4.5154
ZEUS,10/31/2024,9/30/2024,0.31,0.23,-0.08,-25.8065
ZG,11/6/2024,9/30/2024,0.29,0.35,0.06,20.6897
ZI,11/13/2024,9/30/2024,0.2207,0.28,0.0593,26.8691
ZIMV,10/31/2024,9/30/2024,0.0945,0.12,0.0255,26.9841
ZION,10/21/2024,9/30/2024,1.17,1.37,0.2,17.0940
ZIP,11/7/2024,9/30/2024,0.0647,0.0635,-0.0012,-1.8547
ZM,11/25/2024,10/31/2024,1.31,1.38,0.07,5.3435
ZNTL,11/4/2024,9/30/2024,-0.8708,-0.56,0.3108,35.6913
ZS,12/2/2024,10/31/2024,0.63,0.77,0.14,22.2222
ZTS,11/4/2024,9/30/2024,1.45,1.58,0.13,8.9655
ZUMZ,12/6/2024,11/30/2024,0.0267,0.06,0.0333,124.7191
ZVRA,11/12/2024,9/30/2024,-0.42,-0.69,-0.27,-64.2857
ZWS,10/29/2024,9/30/2024,0.32,0.34,0.02,6.2500
ZYME,10/31/2024,9/30/2024,-0.4,-0.39,0.01,2.5000
ZYXI,10/24/2024,9/30/2024,0.06,0.07,0.01,16.6667
