ticker,date,period_ending,estimate,reported,surprise,surprise%
SKYT,11/7/2024,9/30/2024,-0.02,0.08,0.1,500.0000
SKYW,10/31/2024,9/30/2024,1.92,2.16,0.24,12.5000
SLAB,11/4/2024,9/30/2024,-0.21,-0.13,0.08,38.0952
SLB,10/18/2024,9/30/2024,0.88,0.89,0.01,1.1364
SLDP,11/7/2024,9/30/2024,-0.13,-0.13,0,0.0000
SLG,10/16/2024,9/30/2024,-0.5,-0.21,0.29,58.0000
SLGN,10/30/2024,9/30/2024,1.24,1.21,-0.03,-2.4194
SLM,10/23/2024,9/30/2024,0.06,-0.23,-0.29,-483.3333
SLNO,11/5/2024,9/30/2024,-0.63,-1.83,-1.2,-190.4762
SLP,1/1/2025,11/30/2024,0.08,0.17,0.09,112.5000
SLQT,10/31/2024,9/30/2024,-0.18,-0.26,-0.08,-44.4444
SLRN,11/8/2024,9/30/2024,-0.8,-0.49,0.31,38.7500
SLVM,11/12/2024,9/30/2024,2.1833,2.44,0.2567,11.7574
SM,10/31/2024,9/30/2024,1.53,1.62,0.09,5.8824
SMBC,10/29/2024,9/30/2024,1.11,1.1,-0.01,-0.9009
SMBK,10/21/2024,9/30/2024,0.47,0.54,0.07,14.8936
SMCI,11/6/2024,9/30/2024,0.7518,0.7392,-0.0126,-1.6760
SMG,11/6/2024,9/30/2024,-1.95,-2.31,-0.36,-18.4615
SMMT,10/30/2024,9/30/2024,-0.07,-0.08,-0.01,-14.2857
SMP,10/30/2024,9/30/2024,1.11,1.28,0.17,15.3153
SMPL,1/2/2025,11/30/2024,0.4556,0.49,0.0344,7.5505
SMR,11/7/2024,9/30/2024,-0.09,-0.18,-0.09,-100.0000
SMRT,11/6/2024,9/30/2024,-0.02,-0.05,-0.03,-150.0000
SMTC,12/4/2024,10/31/2024,0.23,0.26,0.03,13.0435
SN,10/31/2024,9/30/2024,1.14,1.21,0.07,6.1404
SNA,10/17/2024,9/30/2024,4.59,4.7,0.11,2.3965
SNBR,10/30/2024,9/30/2024,-0.17,-0.14,0.03,17.6471
SNCY,10/30/2024,9/30/2024,0.06,0.06,0,0.0000
SNDR,11/6/2024,9/30/2024,0.23,0.18,-0.05,-21.7391
SNDX,11/5/2024,9/30/2024,-1.11,-0.98,0.13,11.7117
SNEX,11/13/2024,9/30/2024,2.05,2.32,0.27,13.1707
SNOW,11/20/2024,10/31/2024,0.15,0.2,0.05,33.3333
SNPS,12/4/2024,10/31/2024,3.3,3.4,0.1,3.0303
SNV,10/16/2024,9/30/2024,1.1,1.23,0.13,11.8182
SNX,1/7/2025,11/30/2024,3.07,3.09,0.02,0.6515
SO,10/31/2024,9/30/2024,1.34,1.43,0.09,6.7164
SOC,11/15/2024,9/30/2024,-0.5633,-1.2446,-0.6813,-120.9480
SOFI,10/29/2024,9/30/2024,0.04,0.05,0.01,25.0000
SOLV,11/8/2024,9/30/2024,1.3938,1.64,0.2462,17.6639
SON,10/31/2024,9/30/2024,1.45,1.49,0.04,2.7586
SONO,11/13/2024,9/30/2024,-0.39,-0.18,0.21,53.8462
SOUN,11/12/2024,9/30/2024,-0.07,-0.04,0.03,42.8571
SPB,11/15/2024,9/30/2024,1.0688,0.97,-0.0988,-9.2440
SPCE,11/6/2024,9/30/2024,-4.09,-2.66,1.43,34.9633
SPFI,10/23/2024,9/30/2024,0.66,0.66,0,0.0000
SPG,11/5/2024,9/30/2024,1.57,1.46,-0.11,-7.0064
SPGI,10/24/2024,9/30/2024,3.64,3.89,0.25,6.8681
SPHR,11/6/2024,9/30/2024,-3.1929,-2.9522,0.2407,7.5386
SPNS,12/19/2024,9/30/2024,0.38,0.37,-0.01,-2.6316
SPNT,11/1/2024,9/30/2024,0.05,0.03,-0.02,-40.0000
SPOK,10/30/2024,9/30/2024,0.18,0.18,0,0.0000
SPOT,11/13/2024,9/30/2024,1.6639,1.45,-0.2139,-12.8553
SPR,10/30/2024,9/30/2024,-0.37,-3.03,-2.66,-718.9189
SPRY,11/7/2024,9/30/2024,-0.15,-0.2,-0.05,-33.3333
SPSC,10/24/2024,9/30/2024,0.83,0.92,0.09,10.8434
SPT,11/7/2024,9/30/2024,0.12,0.13,0.01,8.3333
SPTN,11/7/2024,9/30/2024,0.48,0.48,0,0.0000
SPXC,10/30/2024,9/30/2024,1.36,1.39,0.03,2.2059
SR,11/14/2024,9/30/2024,-0.48,-0.54,-0.06,-12.5000
SRCE,10/24/2024,9/30/2024,1.34,1.41,0.07,5.2239
SRDX,11/6/2024,9/30/2024,-0.29,-0.13,0.16,55.1724
SRE,11/6/2024,9/30/2024,1.05,0.89,-0.16,-15.2381
SRI,10/30/2024,9/30/2024,0.08,-0.24,-0.32,-400.0000
SRPT,11/6/2024,9/30/2024,-0.13,0.34,0.47,361.5385
SRRK,11/12/2024,9/30/2024,-0.6,-0.6644,-0.0644,-10.7333
SSB,10/23/2024,9/30/2024,1.64,1.9,0.26,15.8537
SSD,10/21/2024,9/30/2024,2.38,2.21,-0.17,-7.1429
SSNC,10/24/2024,9/30/2024,1.26,1.29,0.03,2.3810
SSP,11/4/2024,9/30/2024,0.56,0.37,-0.19,-33.9286
SSRM,11/6/2024,9/30/2024,0.13,0.03,-0.1,-76.9231
SSTI,11/12/2024,9/30/2024,-0.07,-0.11,-0.04,-57.1429
SSTK,10/29/2024,9/30/2024,1.13,1.31,0.18,15.9292
ST,11/4/2024,9/30/2024,0.85,0.86,0.01,1.1765
STAA,10/30/2024,9/30/2024,0.18,0.2,0.02,11.1111
STAG,10/29/2024,9/30/2024,0.17,0.21,0.04,23.5294
STBA,10/17/2024,9/30/2024,0.81,0.85,0.04,4.9383
STC,10/23/2024,9/30/2024,1.04,1.17,0.13,12.5000
STE,11/6/2024,9/30/2024,2.12,2.14,0.02,0.9434
